순위,상품명,판매가,작가,출판사,출시일자,분야
186,반짝반짝 캐치! 티니핑 마음 성장 동화 1: 로미의 새로운 도전,"10,800",아이휴먼 편집부,아이휴먼,20220225,유아(0~7세)
187,어린이라는 세계,"13,500",김소영,사계절,20201116,시/에세이
188,호감 가는 말투에는 비밀이 있다,"15,120",장신웨,리드리드출판,20220811,자기계발
189,책들의 부엌 (인사이드 에디션),"13,050",김지혜,팩토리나인,20220512,소설
190,사랑의 기술,"14,400",에리히 프롬,문예출판사,20190901,인문
191,가짜 모범생,"10,800",손현주,특별한서재,20211015,청소년
192,문재인의 위로,"14,220",더휴먼 편집부,더휴먼,20220510,시/에세이
193,고민의 답,"14,220",글배우,강한별,20220325,자기계발
194,마지막 몰입: 나를 넘어서는 힘,"15,120",짐 퀵,비즈니스북스,20210223,자기계발
195,우리는 어디서 살아야 하는가,"16,200",김시덕,포레스트북스,20220720,경제/경영
1,달러구트 꿈 백화점,"12,420",이미예,팩토리나인,20200708,소설
2,주린이가 가장 알고 싶은 최다질문 TOP 77(교보 단독 리커버),"16,200",염승환,메이트북스,20210726,경제/경영
3,미드나잇 라이브러리(평행우주 에디션),"14,220",매트 헤이그,인플루엔셜,20210428,소설
4,조국의 시간,"15,300",조국,한길사,20210531,정치/사회
5,소크라테스 익스프레스,"16,200",에릭 와이너,어크로스,20210428,인문
6,공정하다는 착각,"16,200",마이클 샌델,와이즈베리,20201201,인문
7,2030 축의 전환(30만 부 기념 리커버),"16,200",마우로 기옌,리더스북,20221118,경제/경영
8,달러구트 꿈 백화점 2(레인보우 에디션),"12,420",이미예,팩토리나인,20210727,소설
9,완전한 행복,"14,220",정유정,은행나무,20210608,소설
10,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,"11,610",David Cho,해커스어학연구소,20220314,외국어
11,아몬드,"12,600",손원평,창비,20170331,소설
12,어떻게 말해줘야 할까,"15,750",오은영,김영사,20201025,가정/육아
13,부자 아빠 가난한 아빠 1(20주년 특별 기념판),"15,300",로버트 기요사키,민음인,20221028,경제/경영
